Date,HomeTeam,VisitorTeam,Time
"Thursday, September 28, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 6:15 p.m. Local
"Thursday, September 28, 2017",New York Yankees,Tampa Bay Rays,Start Time: 7:09 p.m. Local
"Thursday, September 28, 2017",Miami Marlins,Atlanta Braves,Start Time: 7:12 p.m. Local
"Thursday, September 28, 2017",Kansas City Royals,Detroit Tigers,Start Time: 7:15 p.m. Local
"Thursday, September 28, 2017",Milwaukee Brewers,Cincinnati Reds,Start Time: 3:10 p.m. Local
"Thursday, September 28, 2017",Boston Red Sox,Houston Astros,Start Time: 7:11 p.m. Local
"Wednesday, September 27, 2017",Texas Rangers,Houston Astros,Start Time: 1:10 p.m. Local
"Wednesday, September 27, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 6:09 p.m. Local
"Thursday, September 28, 2017",Cleveland Indians,Minnesota Twins,Start Time: 12:10 p.m. Local
"Thursday, September 28, 2017",Chicago White Sox,Los Angeles Angels,Start Time: 7:12 p.m. Local
"Wednesday, September 27, 2017",Pittsburgh Pirates,Baltimore Orioles,Start Time: 7:07 p.m. Local
"Wednesday, September 27, 2017",Philadelphia Phillies,Washington Nationals,Start Time: 7:07 p.m. Local
"Wednesday, September 27, 2017",Oakland Athletics,Seattle Mariners,Start Time: 12:37 p.m. Local
"Wednesday, September 27, 2017",Los Angeles Dodgers,San Diego Padres,Start Time: 7:10 p.m. Local
"Wednesday, September 27, 2017",Kansas City Royals,Detroit Tigers,Start Time: 7:15 p.m. Local
"Wednesday, September 27, 2017",New York Mets,Atlanta Braves,Start Time: 7:11 p.m. Local
"Wednesday, September 27, 2017",New York Yankees,Tampa Bay Rays,Start Time: 7:09 p.m. Local
"Wednesday, September 27, 2017",Milwaukee Brewers,Cincinnati Reds,Start Time: 7:11 p.m. Local
"Wednesday, September 27, 2017",Colorado Rockies,Miami Marlins,Start Time: 1:11 p.m. Local
"Wednesday, September 27, 2017",Cleveland Indians,Minnesota Twins,Start Time: 7:10 p.m. Local
"Wednesday, September 27, 2017",Chicago White Sox,Los Angeles Angels,Start Time: 7:12 p.m. Local
"Wednesday, September 27, 2017",Boston Red Sox,Toronto Blue Jays,Start Time: 7:11 p.m. Local
"Wednesday, September 27, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 12:40 p.m. Local
"Tuesday, September 26, 2017",Philadelphia Phillies,Washington Nationals,Start Time: 7:07 p.m. Local
"Tuesday, September 26, 2017",Oakland Athletics,Seattle Mariners,Start Time: 7:08 p.m. Local
"Tuesday, September 26, 2017",Pittsburgh Pirates,Baltimore Orioles,Start Time: 7:07 p.m. Local
"Tuesday, September 26, 2017",New York Yankees,Tampa Bay Rays,Start Time: 7:08 p.m. Local
"Tuesday, September 26, 2017",Milwaukee Brewers,Cincinnati Reds,Start Time: 6:40 p.m. Local
"Tuesday, September 26, 2017",New York Mets,Atlanta Braves,Start Time: 7:12 p.m. Local
"Tuesday, September 26, 2017",Los Angeles Dodgers,San Diego Padres,Start Time: 7:10 p.m. Local
"Tuesday, September 26, 2017",Kansas City Royals,Detroit Tigers,Start Time: 7:14 p.m. Local
"Tuesday, September 26, 2017",Cleveland Indians,Minnesota Twins,Start Time: 7:11 p.m. Local
"Tuesday, September 26, 2017",Colorado Rockies,Miami Marlins,Start Time: 6:42 p.m. Local
"Tuesday, September 26, 2017",Chicago White Sox,Los Angeles Angels,Start Time: 7:10 p.m. Local
"Monday, September 25, 2017",Texas Rangers,Houston Astros,Start Time: 7:09 p.m. Local
"Tuesday, September 26, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 6:40 p.m. Local
