Date,HomeTeam,VisitorTeam,Time
"Tuesday, May 16, 2017",Minnesota Twins,Colorado Rockies,Start Time: 7:10 p.m. Local
"Tuesday, May 16, 2017",St. Louis Cardinals,Boston Red Sox,Start Time: 7:15 p.m. Local
"Tuesday, May 16, 2017",Pittsburgh Pirates,Washington Nationals,Start Time: 7:06 p.m. Local
"Tuesday, May 16, 2017",San Francisco Giants,Los Angeles Dodgers,Start Time: 7:14 p.m. Local
"Tuesday, May 16, 2017",San Diego Padres,Milwaukee Brewers,Start Time: 7:10 p.m. Local
"Tuesday, May 16, 2017",Seattle Mariners,Oakland Athletics,Start Time: 7:10 p.m. Local
"Tuesday, May 16, 2017",Miami Marlins,Houston Astros,Start Time: 7:11 p.m. Local
"Tuesday, May 16, 2017",Kansas City Royals,New York Yankees,Start Time: 7:15 p.m. Local
"Tuesday, May 16, 2017",Cleveland Indians,Tampa Bay Rays,Start Time: 6:10 p.m. Local
"Tuesday, May 16, 2017",Los Angeles Angels,Chicago White Sox,Start Time: 7:07 p.m. Local
"Tuesday, May 16, 2017",Arizona Diamondbacks,New York Mets,Start Time: 6:40 p.m. Local
"Tuesday, May 16, 2017",Detroit Tigers,Baltimore Orioles,Start Time: 7:11 p.m. Local
"Monday, May 15, 2017",San Francisco Giants,Los Angeles Dodgers,Start Time: 7:15 p.m. Local
"Tuesday, May 16, 2017",Chicago Cubs,Cincinnati Reds,Start Time: 7:09 p.m. Local
"Monday, May 15, 2017",Seattle Mariners,Oakland Athletics,Start Time: 7:11 p.m. Local
"Monday, May 15, 2017",Toronto Blue Jays,Atlanta Braves,Start Time: 7:08 p.m. Local
"Monday, May 15, 2017",Miami Marlins,Houston Astros,Start Time: 7:11 p.m. Local
"Monday, May 15, 2017",Cleveland Indians,Tampa Bay Rays,Start Time: 6:10 p.m. Local
"Monday, May 15, 2017",San Diego Padres,Milwaukee Brewers,Start Time: 7:10 p.m. Local
"Sunday, May 14, 2017",Washington Nationals,Philadelphia Phillies,Start Time: 7:07 p.m. Local
"Monday, May 15, 2017",Arizona Diamondbacks,New York Mets,Start Time: 6:40 p.m. Local
"Monday, May 15, 2017",Los Angeles Angels,Chicago White Sox,Start Time: 7:08 p.m. Local
"Sunday, May 14, 2017",Washington Nationals,Philadelphia Phillies,Start Time: 1:36 p.m. Local
"Sunday, May 14, 2017",Toronto Blue Jays,Seattle Mariners,Start Time: 1:09 p.m. Local
"Sunday, May 14, 2017",Texas Rangers,Oakland Athletics,Start Time: 2:07 p.m. Local
"Sunday, May 14, 2017",New York Yankees,Houston Astros,Start Time: 2:07 p.m. Local
"Sunday, May 14, 2017",San Francisco Giants,Cincinnati Reds,Start Time: 1:06 p.m. Local
"Sunday, May 14, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 1:16 p.m. Local
"Sunday, May 14, 2017",Milwaukee Brewers,New York Mets,Start Time: 1:11 p.m. Local
"Sunday, May 14, 2017",New York Yankees,Houston Astros,": May 13, 2017 (Rain)"
"Sunday, May 14, 2017",Miami Marlins,Atlanta Braves,Start Time: 1:12 p.m. Local
"Sunday, May 14, 2017",Kansas City Royals,Baltimore Orioles,Start Time: 1:18 p.m. Local
"Sunday, May 14, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 1:12 p.m. Local
"Sunday, May 14, 2017",Boston Red Sox,Tampa Bay Rays,Start Time: 1:35 p.m. Local
"Sunday, May 14, 2017",Chicago White Sox,San Diego Padres,Start Time: 1:12 p.m. Local
"Sunday, May 14, 2017",Cleveland Indians,Minnesota Twins,Start Time: 1:10 p.m. Local
"Saturday, May 13, 2017",Texas Rangers,Oakland Athletics,Start Time: 7:07 p.m. Local
"Saturday, May 13, 2017",Washington Nationals,Philadelphia Phillies,Start Time: 7:05 p.m. Local
"Sunday, May 14, 2017",Arizona Diamondbacks,Pittsburgh Pirates,Start Time: 1:11 p.m. Local
"Sunday, May 14, 2017",Los Angeles Angels,Detroit Tigers,Start Time: 12:38 p.m. Local
"Saturday, May 13, 2017",Toronto Blue Jays,Seattle Mariners,Start Time: 1:08 p.m. Local
"Saturday, May 13, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 3:06 p.m. Local
"Saturday, May 13, 2017",Cleveland Indians,Minnesota Twins,Start Time: 4:11 p.m. Local
"Saturday, May 13, 2017",Milwaukee Brewers,New York Mets,Start Time: 6:11 p.m. Local
"Saturday, May 13, 2017",Miami Marlins,Atlanta Braves,Start Time: 7:12 p.m. Local
"Saturday, May 13, 2017",Kansas City Royals,Baltimore Orioles,Start Time: 6:15 p.m. Local
"Saturday, May 13, 2017",Chicago White Sox,San Diego Padres,Start Time: 6:11 p.m. Local
"Saturday, May 13, 2017",San Francisco Giants,Cincinnati Reds,Start Time: 1:05 p.m. Local
"Saturday, May 13, 2017",Boston Red Sox,Tampa Bay Rays,Start Time: 1:05 p.m. Local
"Saturday, May 13, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 6:10 p.m. Local
"Friday, May 12, 2017",Toronto Blue Jays,Seattle Mariners,Start Time: 7:08 p.m. Local
"Saturday, May 13, 2017",Los Angeles Angels,Detroit Tigers,Start Time: 6:07 p.m. Local
"Saturday, May 13, 2017",Arizona Diamondbacks,Pittsburgh Pirates,Start Time: 5:10 p.m. Local
"Friday, May 12, 2017",Texas Rangers,Oakland Athletics,Start Time: 7:07 p.m. Local
"Friday, May 12, 2017",San Francisco Giants,Cincinnati Reds,Start Time: 7:15 p.m. Local
"Friday, May 12, 2017",St. Louis Cardinals,Chicago Cubs,Start Time: 7:17 p.m. Local
"Friday, May 12, 2017",New York Yankees,Houston Astros,Start Time: 7:09 p.m. Local
"Friday, May 12, 2017",Milwaukee Brewers,New York Mets,Start Time: 7:11 p.m. Local
"Friday, May 12, 2017",Miami Marlins,Atlanta Braves,Start Time: 7:14 p.m. Local
"Friday, May 12, 2017",Boston Red Sox,Tampa Bay Rays,Start Time: 7:09 p.m. Local
"Friday, May 12, 2017",Chicago White Sox,San Diego Padres,Start Time: 7:13 p.m. Local
"Friday, May 12, 2017",Arizona Diamondbacks,Pittsburgh Pirates,Start Time: 6:40 p.m. Local
"Friday, May 12, 2017",Cleveland Indians,Minnesota Twins,Start Time: 7:10 p.m. Local
"Friday, May 12, 2017",Los Angeles Angels,Detroit Tigers,Start Time: 7:08 p.m. Local
"Friday, May 12, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 6:41 p.m. Local
"Friday, May 12, 2017",Kansas City Royals,Baltimore Orioles,Start Time: 7:15 p.m. Local
"Thursday, May 11, 2017",Toronto Blue Jays,Seattle Mariners,Start Time: 7:07 p.m. Local
"Thursday, May 11, 2017",Texas Rangers,San Diego Padres,Start Time: 7:08 p.m. Local
"Thursday, May 11, 2017",San Francisco Giants,Cincinnati Reds,Start Time: 7:15 p.m. Local
"Thursday, May 11, 2017",Tampa Bay Rays,Kansas City Royals,Start Time: 1:10 p.m. Local
"Thursday, May 11, 2017",Milwaukee Brewers,Boston Red Sox,Start Time: 12:10 p.m. Local
"Thursday, May 11, 2017",Colorado Rockies,Los Angeles Dodgers,Start Time: 6:41 p.m. Local
"Thursday, May 11, 2017",Chicago White Sox,Minnesota Twins,Start Time: 7:10 p.m. Local
"Thursday, May 11, 2017",New York Yankees,Houston Astros,Start Time: 7:09 p.m. Local
"Thursday, May 11, 2017",Los Angeles Angels,Detroit Tigers,Start Time: 7:08 p.m. Local
"Thursday, May 11, 2017",Arizona Diamondbacks,Pittsburgh Pirates,Start Time: 6:40 p.m. Local
"Wednesday, May 10, 2017",Toronto Blue Jays,Cleveland Indians,Start Time: 7:07 p.m. Local
"Wednesday, May 10, 2017",Washington Nationals,Baltimore Orioles,Start Time: 7:05 p.m. Local
"Wednesday, May 10, 2017",Texas Rangers,San Diego Padres,Start Time: 7:09 p.m. Local
"Wednesday, May 10, 2017",Miami Marlins,St. Louis Cardinals,Start Time: 7:11 p.m. Local
"Wednesday, May 10, 2017",Los Angeles Dodgers,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Wednesday, May 10, 2017",Tampa Bay Rays,Kansas City Royals,Start Time: 7:10 p.m. Local
"Wednesday, May 10, 2017",Philadelphia Phillies,Seattle Mariners,Start Time: 1:07 p.m. Local
"Wednesday, May 10, 2017",Oakland Athletics,Los Angeles Angels,Start Time: 12:37 p.m. Local
"Wednesday, May 10, 2017",Milwaukee Brewers,Boston Red Sox,Start Time: 7:10 p.m. Local
"Wednesday, May 10, 2017",New York Mets,San Francisco Giants,Start Time: 1:10 p.m. Local
"Wednesday, May 10, 2017",Colorado Rockies,Chicago Cubs,Start Time: 2:00 p.m. Local
"Wednesday, May 10, 2017",Arizona Diamondbacks,Detroit Tigers,Start Time: 6:40 p.m. Local
"Tuesday, May 9, 2017",Tampa Bay Rays,Kansas City Royals,Start Time: 7:10 p.m. Local
"Tuesday, May 9, 2017",San Diego Padres,Texas Rangers,Start Time: 12:43 p.m. Local
"Tuesday, May 9, 2017",Oakland Athletics,Los Angeles Angels,Start Time: 7:07 p.m. Local
"Tuesday, May 9, 2017",Toronto Blue Jays,Cleveland Indians,Start Time: 7:08 p.m. Local
"Tuesday, May 9, 2017",Philadelphia Phillies,Seattle Mariners,Start Time: 7:09 p.m. Local
"Tuesday, May 9, 2017",New York Mets,San Francisco Giants,Start Time: 7:10 p.m. Local
"Tuesday, May 9, 2017",Milwaukee Brewers,Boston Red Sox,Start Time: 6:40 p.m. Local
"Tuesday, May 9, 2017",Houston Astros,Atlanta Braves,Start Time: 7:11 p.m. Local
"Wednesday, May 10, 2017",Houston Astros,Atlanta Braves,Start Time: 1:11 p.m. Local
"Tuesday, May 9, 2017",Colorado Rockies,Chicago Cubs,Start Time: 12:12 p.m. Local
"Tuesday, May 9, 2017",Los Angeles Dodgers,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Tuesday, May 9, 2017",Miami Marlins,St. Louis Cardinals,Start Time: 7:11 p.m. Local
"Tuesday, May 9, 2017",Cincinnati Reds,New York Yankees,Start Time: 7:10 p.m. Local
"Tuesday, May 9, 2017",Colorado Rockies,Chicago Cubs,Start Time: 6:40 p.m. Local
"Tuesday, May 9, 2017",Chicago White Sox,Minnesota Twins,Start Time: 7:11 p.m. Local
"Tuesday, May 9, 2017",Baltimore Orioles,Washington Nationals,Start Time: 7:06 p.m. Local
"Monday, May 8, 2017",Toronto Blue Jays,Cleveland Indians,Start Time: 7:08 p.m. Local
"Monday, May 8, 2017",San Diego Padres,Texas Rangers,Start Time: 7:10 p.m. Local
"Monday, May 8, 2017",Tampa Bay Rays,Kansas City Royals,Start Time: 7:10 p.m. Local
"Monday, May 8, 2017",Oakland Athletics,Los Angeles Angels,Start Time: 7:07 p.m. Local
"Monday, May 8, 2017",New York Mets,San Francisco Giants,Start Time: 7:10 p.m. Local
"Monday, May 8, 2017",Miami Marlins,St. Louis Cardinals,Start Time: 7:12 p.m. Local
"Monday, May 8, 2017",Los Angeles Dodgers,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Tuesday, May 9, 2017",Arizona Diamondbacks,Detroit Tigers,Start Time: 6:40 p.m. Local
"Monday, May 8, 2017",Cincinnati Reds,New York Yankees,Start Time: 7:11 p.m. Local
"Sunday, May 7, 2017",Tampa Bay Rays,Toronto Blue Jays,Start Time: 1:11 p.m. Local
"Monday, May 8, 2017",Baltimore Orioles,Washington Nationals,Start Time: 7:08 p.m. Local
"Sunday, May 7, 2017",Seattle Mariners,Texas Rangers,Start Time: 1:10 p.m. Local
"Sunday, May 7, 2017",Pittsburgh Pirates,Milwaukee Brewers,Start Time: 1:38 p.m. Local
"Sunday, May 7, 2017",Philadelphia Phillies,Washington Nationals,Start Time: 2:34 p.m. Local
"Sunday, May 7, 2017",Oakland Athletics,Detroit Tigers,Start Time: 1:07 p.m. Local
"Sunday, May 7, 2017",Minnesota Twins,Boston Red Sox,Start Time: 1:12 p.m. Local
"Sunday, May 7, 2017",Kansas City Royals,Cleveland Indians,Start Time: 1:16 p.m. Local
"Sunday, May 7, 2017",Colorado Rockies,Arizona Diamondbacks,Start Time: 1:11 p.m. Local
"Sunday, May 7, 2017",Cincinnati Reds,San Francisco Giants,Start Time: 4:10 p.m. Local
"Sunday, May 7, 2017",New York Mets,Miami Marlins,Start Time: 1:10 p.m. Local
"Sunday, May 7, 2017",Chicago Cubs,New York Yankees,Start Time: 7:09 p.m. Local
"Sunday, May 7, 2017",Baltimore Orioles,Chicago White Sox,Start Time: 1:37 p.m. Local
"Sunday, May 7, 2017",Atlanta Braves,St. Louis Cardinals,Start Time: 1:37 p.m. Local
"Sunday, May 7, 2017",Los Angeles Angels,Houston Astros,Start Time: 12:38 p.m. Local
"Saturday, May 6, 2017",San Diego Padres,Los Angeles Dodgers,Start Time: 5:40 p.m. Local
"Saturday, May 6, 2017",Tampa Bay Rays,Toronto Blue Jays,Start Time: 4:11 p.m. Local
"Saturday, May 6, 2017",Oakland Athletics,Detroit Tigers,Start Time: 6:07 p.m. Local
"Saturday, May 6, 2017",Seattle Mariners,Texas Rangers,Start Time: 6:10 p.m. Local
"Saturday, May 6, 2017",New York Mets,Miami Marlins,Start Time: 7:10 p.m. Local
"Saturday, May 6, 2017",Philadelphia Phillies,Washington Nationals,Start Time: 7:07 p.m. Local
"Saturday, May 6, 2017",Pittsburgh Pirates,Milwaukee Brewers,Start Time: 7:09 p.m. Local
"Saturday, May 6, 2017",Colorado Rockies,Arizona Diamondbacks,Start Time: 6:12 p.m. Local
"Saturday, May 6, 2017",Minnesota Twins,Boston Red Sox,Start Time: 1:10 p.m. Local
"Saturday, May 6, 2017",Cincinnati Reds,San Francisco Giants,Start Time: 7:10 p.m. Local
"Saturday, May 6, 2017",Baltimore Orioles,Chicago White Sox,Start Time: 7:48 p.m. Local
"Saturday, May 6, 2017",Chicago Cubs,New York Yankees,Start Time: 6:15 p.m. Local
"Saturday, May 6, 2017",Kansas City Royals,Cleveland Indians,Start Time: 3:15 p.m. Local
"Saturday, May 6, 2017",Atlanta Braves,St. Louis Cardinals,Start Time: 7:13 p.m. Local
"Saturday, May 6, 2017",Los Angeles Angels,Houston Astros,Start Time: 6:09 p.m. Local
"Friday, May 5, 2017",Seattle Mariners,Texas Rangers,Start Time: 7:10 p.m. Local
"Friday, May 5, 2017",Tampa Bay Rays,Toronto Blue Jays,Start Time: 7:10 p.m. Local
"Friday, May 5, 2017",Pittsburgh Pirates,Milwaukee Brewers,Start Time: 7:15 p.m. Local
"Friday, May 5, 2017",Oakland Athletics,Detroit Tigers,Start Time: 7:07 p.m. Local
"Friday, May 5, 2017",Philadelphia Phillies,Washington Nationals,Start Time: 7:05 p.m. Local
"Friday, May 5, 2017",San Diego Padres,Los Angeles Dodgers,Start Time: 7:12 p.m. Local
"Friday, May 5, 2017",New York Mets,Miami Marlins,Start Time: 7:10 p.m. Local
"Friday, May 5, 2017",Minnesota Twins,Boston Red Sox,Start Time: 7:10 p.m. Local
"Friday, May 5, 2017",Kansas City Royals,Cleveland Indians,Start Time: 7:15 p.m. Local
"Friday, May 5, 2017",Colorado Rockies,Arizona Diamondbacks,Start Time: 6:42 p.m. Local
"Friday, May 5, 2017",Cincinnati Reds,San Francisco Giants,Start Time: 8:30 p.m. Local
"Friday, May 5, 2017",Chicago Cubs,New York Yankees,Start Time: 1:21 p.m. Local
"Friday, May 5, 2017",Baltimore Orioles,Chicago White Sox,Start Time: 7:07 p.m. Local
"Friday, May 5, 2017",Atlanta Braves,St. Louis Cardinals,Start Time: 7:36 p.m. Local
"Friday, May 5, 2017",Los Angeles Angels,Houston Astros,Start Time: 7:08 p.m. Local
"Thursday, May 4, 2017",Washington Nationals,Arizona Diamondbacks,Start Time: 1:06 p.m. Local
"Thursday, May 4, 2017",Seattle Mariners,Los Angeles Angels,Start Time: 7:11 p.m. Local
"Thursday, May 4, 2017",San Diego Padres,Colorado Rockies,Start Time: 12:42 p.m. Local
"Thursday, May 4, 2017",Minnesota Twins,Oakland Athletics,Start Time: 12:10 p.m. Local
"Thursday, May 4, 2017",Tampa Bay Rays,Miami Marlins,Start Time: 7:10 p.m. Local
"Thursday, May 4, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 6:16 p.m. Local
"Thursday, May 4, 2017",Cincinnati Reds,Pittsburgh Pirates,Start Time: 1:31 p.m. Local
"Thursday, May 4, 2017",Kansas City Royals,Chicago White Sox,Start Time: 1:15 p.m. Local
"Thursday, May 4, 2017",Chicago Cubs,Philadelphia Phillies,Start Time: 1:22 p.m. Local
"Wednesday, May 3, 2017",Washington Nationals,Arizona Diamondbacks,Start Time: 7:07 p.m. Local
"Wednesday, May 3, 2017",Tampa Bay Rays,Miami Marlins,Start Time: 7:11 p.m. Local
"Wednesday, May 3, 2017",San Diego Padres,Colorado Rockies,Start Time: 7:14 p.m. Local
"Thursday, May 4, 2017",Boston Red Sox,Baltimore Orioles,Start Time: 7:12 p.m. Local
"Wednesday, May 3, 2017",Seattle Mariners,Los Angeles Angels,Start Time: 7:10 p.m. Local
"Wednesday, May 3, 2017",Minnesota Twins,Oakland Athletics,Start Time: 7:10 p.m. Local
"Wednesday, May 3, 2017",New York Yankees,Toronto Blue Jays,Start Time: 7:08 p.m. Local
"Wednesday, May 3, 2017",Boston Red Sox,Baltimore Orioles,Start Time: 7:10 p.m. Local
"Wednesday, May 3, 2017",Atlanta Braves,New York Mets,Start Time: 7:35 p.m. Local
"Wednesday, May 3, 2017",Los Angeles Dodgers,San Francisco Giants,Start Time: 7:17 p.m. Local
"Wednesday, May 3, 2017",Cincinnati Reds,Pittsburgh Pirates,Start Time: 7:11 p.m. Local
"Wednesday, May 3, 2017",Chicago Cubs,Philadelphia Phillies,Start Time: 7:07 p.m. Local
"Wednesday, May 3, 2017",Houston Astros,Texas Rangers,Start Time: 7:11 p.m. Local
"Wednesday, May 3, 2017",Detroit Tigers,Cleveland Indians,Start Time: 7:11 p.m. Local
"Wednesday, May 3, 2017",Kansas City Royals,Chicago White Sox,Start Time: 7:14 p.m. Local
"Tuesday, May 2, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 7:15 p.m. Local
"Tuesday, May 2, 2017",Washington Nationals,Arizona Diamondbacks,Start Time: 7:05 p.m. Local
"Tuesday, May 2, 2017",Miami Marlins,Tampa Bay Rays,Start Time: 7:12 p.m. Local
"Tuesday, May 2, 2017",Minnesota Twins,Oakland Athletics,Start Time: 7:10 p.m. Local
"Tuesday, May 2, 2017",New York Yankees,Toronto Blue Jays,Start Time: 7:09 p.m. Local
"Tuesday, May 2, 2017",Los Angeles Dodgers,San Francisco Giants,Start Time: 7:11 p.m. Local
"Tuesday, May 2, 2017",San Diego Padres,Colorado Rockies,Start Time: 7:11 p.m. Local
"Tuesday, May 2, 2017",Seattle Mariners,Los Angeles Angels,Start Time: 7:10 p.m. Local
"Tuesday, May 2, 2017",Kansas City Royals,Chicago White Sox,Start Time: 7:15 p.m. Local
"Tuesday, May 2, 2017",Cincinnati Reds,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Tuesday, May 2, 2017",Chicago Cubs,Philadelphia Phillies,Start Time: 7:06 p.m. Local
"Tuesday, May 2, 2017",Boston Red Sox,Baltimore Orioles,Start Time: 7:09 p.m. Local
"Tuesday, May 2, 2017",Houston Astros,Texas Rangers,Start Time: 7:11 p.m. Local
"Tuesday, May 2, 2017",Detroit Tigers,Cleveland Indians,Start Time: 7:10 p.m. Local
"Monday, May 1, 2017",St. Louis Cardinals,Milwaukee Brewers,Start Time: 7:15 p.m. Local
"Tuesday, May 2, 2017",Atlanta Braves,New York Mets,Start Time: 7:37 p.m. Local
"Monday, May 1, 2017",Houston Astros,Texas Rangers,Start Time: 7:11 p.m. Local
"Monday, May 1, 2017",Miami Marlins,Tampa Bay Rays,Start Time: 7:12 p.m. Local
"Monday, May 1, 2017",New York Yankees,Toronto Blue Jays,Start Time: 7:08 p.m. Local
"Monday, May 1, 2017",Kansas City Royals,Chicago White Sox,Start Time: 7:15 p.m. Local
"Monday, May 1, 2017",Los Angeles Dodgers,San Francisco Giants,Start Time: 7:10 p.m. Local
"Monday, May 1, 2017",Detroit Tigers,Cleveland Indians,Start Time: 7:10 p.m. Local
"Monday, May 1, 2017",Chicago Cubs,Philadelphia Phillies,Start Time: 8:30 p.m. Local
"Monday, May 1, 2017",Cincinnati Reds,Pittsburgh Pirates,Start Time: 7:11 p.m. Local
"Sunday, April 30, 2017",Toronto Blue Jays,Tampa Bay Rays,Start Time: 1:07 p.m. Local
"Monday, May 1, 2017",Boston Red Sox,Baltimore Orioles,Start Time: 7:10 p.m. Local
"Sunday, April 30, 2017",Washington Nationals,New York Mets,Start Time: 1:34 p.m. Local
"Monday, May 1, 2017",Atlanta Braves,New York Mets,Start Time: 7:36 p.m. Local
"Sunday, April 30, 2017",Texas Rangers,Los Angeles Angels,Start Time: 2:09 p.m. Local
"Sunday, April 30, 2017",St. Louis Cardinals,Cincinnati Reds,Start Time: 1:15 p.m. Local
"Sunday, April 30, 2017",San Francisco Giants,San Diego Padres,Start Time: 1:05 p.m. Local
"Sunday, April 30, 2017",Miami Marlins,Pittsburgh Pirates,Start Time: 1:17 p.m. Local
"Sunday, April 30, 2017",Milwaukee Brewers,Atlanta Braves,Start Time: 1:11 p.m. Local
"Sunday, April 30, 2017",New York Yankees,Baltimore Orioles,Start Time: 1:09 p.m. Local
"Sunday, April 30, 2017",Los Angeles Dodgers,Philadelphia Phillies,Start Time: 1:10 p.m. Local
"Sunday, April 30, 2017",Detroit Tigers,Chicago White Sox,Start Time: 1:10 p.m. Local
"Sunday, April 30, 2017",Kansas City Royals,Minnesota Twins,Start Time: 2:18 p.m. Local
"Sunday, April 30, 2017",Houston Astros,Oakland Athletics,Start Time: 1:12 p.m. Local
"Sunday, April 30, 2017",Cleveland Indians,Seattle Mariners,Start Time: 1:10 p.m. Local
"Sunday, April 30, 2017",Boston Red Sox,Chicago Cubs,Start Time: 8:10 p.m. Local
"Sunday, April 30, 2017",Arizona Diamondbacks,Colorado Rockies,Start Time: 1:10 p.m. Local
"Saturday, April 29, 2017",San Francisco Giants,San Diego Padres,Start Time: 6:05 p.m. Local
"Saturday, April 29, 2017",Washington Nationals,New York Mets,Start Time: 1:06 p.m. Local
"Saturday, April 29, 2017",Toronto Blue Jays,Tampa Bay Rays,Start Time: 1:08 p.m. Local
"Saturday, April 29, 2017",Texas Rangers,Los Angeles Angels,Start Time: 6:15 p.m. Local
"Saturday, April 29, 2017",New York Yankees,Baltimore Orioles,Start Time: 1:09 p.m. Local
"Saturday, April 29, 2017",Milwaukee Brewers,Atlanta Braves,Start Time: 6:10 p.m. Local
"Saturday, April 29, 2017",Los Angeles Dodgers,Philadelphia Phillies,Start Time: 6:10 p.m. Local
"Saturday, April 29, 2017",Miami Marlins,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Saturday, April 29, 2017",Detroit Tigers,Chicago White Sox,Start Time: 1:10 p.m. Local
"Saturday, April 29, 2017",Houston Astros,Oakland Athletics,Start Time: 6:10 p.m. Local
"Saturday, April 29, 2017",Arizona Diamondbacks,Colorado Rockies,Start Time: 5:09 p.m. Local
"Saturday, April 29, 2017",Cleveland Indians,Seattle Mariners,Start Time: 4:10 p.m. Local
"Saturday, April 29, 2017",Boston Red Sox,Chicago Cubs,Start Time: 4:05 p.m. Local
"Friday, April 28, 2017",Texas Rangers,Los Angeles Angels,Start Time: 7:07 p.m. Local
"Friday, April 28, 2017",Toronto Blue Jays,Tampa Bay Rays,Start Time: 7:08 p.m. Local
"Friday, April 28, 2017",Washington Nationals,New York Mets,Start Time: 7:06 p.m. Local
"Friday, April 28, 2017",San Francisco Giants,San Diego Padres,Start Time: 7:15 p.m. Local
"Friday, April 28, 2017",New York Yankees,Baltimore Orioles,Start Time: 7:08 p.m. Local
"Friday, April 28, 2017",Milwaukee Brewers,Atlanta Braves,Start Time: 7:10 p.m. Local
"Friday, April 28, 2017",Miami Marlins,Pittsburgh Pirates,Start Time: 7:10 p.m. Local
"Friday, April 28, 2017",Houston Astros,Oakland Athletics,Start Time: 7:11 p.m. Local
"Friday, April 28, 2017",St. Louis Cardinals,Cincinnati Reds,Start Time: 7:15 p.m. Local
"Friday, April 28, 2017",Detroit Tigers,Chicago White Sox,Start Time: 7:10 p.m. Local
"Friday, April 28, 2017",Cleveland Indians,Seattle Mariners,Start Time: 7:10 p.m. Local
"Friday, April 28, 2017",Boston Red Sox,Chicago Cubs,Start Time: 7:11 p.m. Local
"Friday, April 28, 2017",Arizona Diamondbacks,Colorado Rockies,Start Time: 6:40 p.m. Local
"Friday, April 28, 2017",Los Angeles Dodgers,Philadelphia Phillies,Start Time: 7:10 p.m. Local
"Friday, April 28, 2017",Kansas City Royals,Minnesota Twins,Start Time: 7:15 p.m. Local
"Thursday, April 27, 2017",St. Louis Cardinals,Toronto Blue Jays,Start Time: 12:47 p.m. Local
"Thursday, April 27, 2017",Detroit Tigers,Seattle Mariners,Start Time: 1:55 p.m. Local
"Thursday, April 27, 2017",St. Louis Cardinals,Toronto Blue Jays,Start Time: 6:16 p.m. Local
"Thursday, April 27, 2017",Cleveland Indians,Houston Astros,Start Time: 6:25 p.m. Local
"Thursday, April 27, 2017",Arizona Diamondbacks,San Diego Padres,Start Time: 6:40 p.m. Local
"Thursday, April 27, 2017",Philadelphia Phillies,Miami Marlins,Start Time: 1:05 p.m. Local
"Thursday, April 27, 2017",New York Mets,Atlanta Braves,Start Time: 1:10 p.m. Local
"Thursday, April 27, 2017",Colorado Rockies,Washington Nationals,Start Time: 1:13 p.m. Local
"Thursday, April 27, 2017",Boston Red Sox,New York Yankees,Start Time: 7:10 p.m. Local
"Thursday, April 27, 2017",San Francisco Giants,Los Angeles Dodgers,Start Time: 12:45 p.m. Local
"Thursday, April 27, 2017",Los Angeles Angels,Oakland Athletics,Start Time: 7:07 p.m. Local
"Wednesday, April 26, 2017",New York Mets,Atlanta Braves,Start Time: 7:10 p.m. Local
"Wednesday, April 26, 2017",Detroit Tigers,Seattle Mariners,Start Time: 7:10 p.m. Local
"Wednesday, April 26, 2017",San Francisco Giants,Los Angeles Dodgers,Start Time: 7:15 p.m. Local
"Wednesday, April 26, 2017",Philadelphia Phillies,Miami Marlins,Start Time: 7:06 p.m. Local
"Wednesday, April 26, 2017",Texas Rangers,Minnesota Twins,Start Time: 7:08 p.m. Local
"Wednesday, April 26, 2017",Milwaukee Brewers,Cincinnati Reds,Start Time: 12:40 p.m. Local
"Wednesday, April 26, 2017",Pittsburgh Pirates,Chicago Cubs,Start Time: 7:07 p.m. Local
"Wednesday, April 26, 2017",Cleveland Indians,Houston Astros,Start Time: 6:10 p.m. Local
"Wednesday, April 26, 2017",Colorado Rockies,Washington Nationals,Start Time: 6:41 p.m. Local
"Wednesday, April 26, 2017",Baltimore Orioles,Tampa Bay Rays,Start Time: 7:07 p.m. Local
"Wednesday, April 26, 2017",Chicago White Sox,Kansas City Royals,Start Time: 1:10 p.m. Local
"Wednesday, April 26, 2017",Boston Red Sox,New York Yankees,Start Time: 7:10 p.m. Local
"Wednesday, April 26, 2017",Los Angeles Angels,Oakland Athletics,Start Time: 7:08 p.m. Local
"Wednesday, April 26, 2017",Arizona Diamondbacks,San Diego Padres,Start Time: 6:40 p.m. Local
"Tuesday, April 25, 2017",Texas Rangers,Minnesota Twins,Start Time: 7:09 p.m. Local
"Tuesday, April 25, 2017",St. Louis Cardinals,Toronto Blue Jays,Start Time: 7:14 p.m. Local
"Tuesday, April 25, 2017",Detroit Tigers,Seattle Mariners,Start Time: 7:10 p.m. Local
"Tuesday, April 25, 2017",Colorado Rockies,Washington Nationals,Start Time: 7:46 p.m. Local
